k	m	cos(2*m*pi)	2*m*pi
0	1.000000000000000E+00	1.000000000000000E+00	6.283185307179586E+00
1	1.000000000000000E+01	1.000000000000000E+00	6.283185307179586E+01
2	1.000000000000000E+02	1.000000000000000E+00	6.283185307179587E+02
3	1.000000000000000E+03	1.000000000000000E+00	6.283185307179586E+03
4	1.000000000000000E+04	1.000000000000000E+00	6.283185307179586E+04
5	1.000000000000000E+05	1.000000000000000E+00	6.283185307179586E+05
6	1.000000000000000E+06	1.000000000000000E+00	6.283185307179586E+06
7	1.000000000000000E+07	1.000000000000000E+00	6.283185307179587E+07
8	1.000000000000000E+08	9.999999999999969E-01	6.283185307179586E+08
9	1.000000000000000E+09	9.999999999999978E-01	6.283185307179586E+09
10	1.000000000000000E+10	9.999999999899705E-01	6.283185307179586E+10
11	9.999999795200000E+10	9.999999997709935E-01	6.283185178499951E+11
12	9.999999959040000E+11	9.999999610710738E-01	6.283185281443659E+12
13	9.999999827968000E+12	9.999999497446436E-01	6.283185199088693E+13
14	1.000000003768320E+14	9.982970936167014E-01	6.283185330856639E+14
15	9.999999869911040E+14	9.645408935198392E-01	6.283185225442282E+15
16	1.000000027256422E+16	9.640747464739566E-01	6.283185478436739E+16
17	9.999999843067494E+16	8.133345243286308E-01	6.283185208575985E+17
18	9.999999843067494E+17	9.972758033389917E-01	6.283185208575985E+18
19	9.999999980506448E+18	8.935424534002419E-01	6.283185294931427E+19
20	1.000000020040877E+20	-8.014931780156964E-01	6.283185433100132E+20
